ordemdecompra,corteinicio,cortefim,cortepausa,corteresp,customizacaoinicio,customizacaofim,customizacaopausa,customizacaoresp,coladeirainicio,coladeirafim,coladeirapausa,coladeiraresp,usinageminicio,usinagemfim,usinagempausa,usinagemresp,montageminicio,montagemfim,montagempausa,montagemresp,paineisinicio,paineisfim,paineispausa,paineisresp,embalageminicio,embalagemfim,embalagempausa,embalagemresp,observacoes,conferido,motorista,tamanho,separacao,acabamentoresp,acabamentoinicio,acabamentofim,acabamentopausa
1000000020,2023-03-07 00:00:00,2023-03-07 00:00:00,false,0,2023-03-07 00:00:00,2023-03-07 00:00:00,false,0,2023-03-07 00:00:00,2023-03-07 00:00:00,false,0,2023-03-07 00:00:00,2023-03-07 00:00:00,false,0,2023-03-07 16:00:00,2023-03-08 17:20:00,false,11,2023-03-07 00:00:00,2023-03-07 00:00:00,false,0,2023-03-08 16:45:00,2023-03-09 11:14:00,false,45,FALTANDO PORTA DE ALUMINIO,34,39,MÉDIO,,0,,,false
1000000021,2023-04-19 07:35:00,2023-04-19 09:25:19,false,14,2023-04-19 11:45:00,2023-04-19 13:30:00,false,12,2023-04-19 11:20:00,2023-04-19 14:25:00,false,9,2023-04-19 15:29:00,2023-04-19 17:15:00,true,32,2023-04-20 10:55:00,2023-04-20 13:50:00,false,48,2023-04-19 00:00:00,2023-04-19 00:00:00,false,0,2023-04-20 14:09:00,2023-04-20 14:57:00,false,46,COLA PL 600 ENVIADO.,33,15,PEQUENO,,0,,,false
1000000022,2023-04-18 14:38:20,2023-04-19 08:36:27,false,23,2023-04-19 09:43:00,2023-04-19 10:20:00,false,12,2023-04-19 09:00:00,2023-04-19 11:00:00,false,9,2023-04-19 11:40:00,2023-04-19 16:50:00,true,32,2023-04-20 13:24:00,2023-04-20 17:15:00,false,13,2023-04-19 00:00:00,2023-04-19 00:00:00,false,0,2023-04-24 09:31:00,2023-04-24 16:16:00,false,46,,33,15,MÉDIO,,0,,,false
1000000023,2023-04-18 13:35:28,2023-04-18 14:35:15,false,31,2023-04-18 13:20:00,2023-04-18 16:30:00,false,12,2023-04-18 15:25:00,2023-04-18 16:00:00,false,22,2023-04-19 07:45:00,2023-04-19 08:20:00,false,32,2023-04-20 11:45:00,2023-04-20 17:10:00,false,11,2023-04-18 00:00:00,2023-04-18 00:00:00,false,0,2023-04-24 08:18:00,2023-04-24 08:37:00,false,46,,33,15,PEQUENO,,0,,,false
1000000024,2023-04-19 09:28:19,2023-04-20 10:13:24,false,14,2023-04-20 10:15:00,2023-04-20 10:30:00,false,12,2023-04-19 15:15:00,2023-04-20 10:38:00,false,6,2023-04-20 13:00:00,2023-04-20 14:07:00,false,32,2023-04-20 14:15:00,2023-04-25 07:57:00,false,48,2023-04-20 00:00:00,2023-04-20 00:00:00,false,0,2023-04-25 10:47:00,2023-04-25 13:23:00,false,45,,33,15,PEQUENO,,0,,,false
1000000025,2023-04-17 16:02:29,2023-04-19 09:31:19,true,23,2023-04-19 00:00:00,2023-04-19 00:00:00,false,0,2023-04-19 09:40:00,2023-04-19 13:50:00,false,9,2023-04-19 13:50:00,2023-04-20 11:28:00,true,32,2023-04-20 14:00:00,2023-04-24 08:40:00,false,16,2023-04-19 00:00:00,2023-04-19 00:00:00,false,0,2023-04-24 16:45:00,2023-04-25 10:38:00,false,45,,33,15,MÉDIO,,0,,,false
1000000026,2023-04-18 13:03:06,2023-04-18 13:31:27,false,23,2023-04-18 13:40:00,2023-04-18 13:42:00,false,25,2023-04-18 13:50:00,2023-04-18 13:55:00,false,22,2023-04-18 14:20:00,2023-04-18 14:58:00,false,32,2023-04-18 15:20:00,2023-04-18 15:20:00,false,0,2023-04-18 00:00:00,2023-04-18 00:00:00,false,0,2023-04-18 16:48:00,2023-04-18 17:18:00,false,45,,34,15,PEQUENO,,0,,,false
1000000027,2023-04-19 09:34:55,2023-04-19 10:01:11,false,23,2023-04-19 11:08:00,2023-04-19 11:10:00,false,12,2023-04-19 14:30:00,2023-04-19 14:35:00,false,22,2023-04-19 15:57:00,2023-04-19 16:50:00,true,32,2023-04-20 08:30:00,2023-04-20 10:55:00,false,48,2023-04-19 00:00:00,2023-04-19 00:00:00,false,0,2023-04-20 11:10:00,2023-04-20 11:20:00,false,45,,34,15,PEQUENO,,0,,,false
1000000028,2023-04-19 16:13:25,2023-04-20 09:40:21,false,31,2023-04-20 10:12:00,2023-04-20 10:15:00,false,12,2023-04-20 09:45:00,2023-04-20 11:30:00,false,22,2023-04-20 16:30:00,2023-04-24 10:30:00,true,32,2023-04-24 11:25:00,2023-04-24 16:51:00,false,11,2023-04-24 00:00:00,2023-04-24 00:00:00,false,0,2023-04-25 13:26:00,2023-04-25 16:40:00,false,45,,33,15,MÉDIO,,0,,,false
1000000029,2023-04-20 09:40:34,2023-04-20 10:00:48,false,23,2023-04-20 00:00:00,2023-04-20 00:00:00,false,0,2023-04-20 11:47:00,2023-04-20 13:10:00,false,22,2023-04-20 14:30:00,2023-04-20 15:20:00,false,32,2023-04-20 16:30:00,2023-04-24 08:13:00,false,49,2023-04-20 00:00:00,2023-04-20 00:00:00,false,0,2023-04-24 16:31:00,2023-04-24 16:47:00,false,45,CARREGADO POR (GABRIEL),33,,PEQUENO,,0,,,false
1000000030,2023-05-11 09:46:16,2023-05-11 11:43:52,false,23,2023-05-11 14:22:00,2023-05-11 14:23:00,false,12,2023-05-12 08:50:00,2023-05-12 10:45:00,false,9,2023-05-22 09:50:00,2023-05-22 10:10:00,false,32,2023-03-20 12:10:00,2023-05-23 08:00:00,false,48,2023-05-12 10:55:00,2023-05-17 08:40:00,false,35,2023-05-22 15:52:00,2023-05-22 16:05:00,false,50,FALTANDO  ESPELHO 930X730 OK DIA 07/07/2023,33,15,PEQUENO,,0,,,false
1000000031,2023-05-11 13:17:12,2023-05-11 13:40:30,false,23,2023-05-12 00:00:00,2023-05-12 00:00:00,false,0,2023-05-11 17:05:00,2023-05-12 08:00:00,false,9,2023-05-12 09:15:00,2023-05-12 09:41:00,false,32,2023-05-20 11:38:00,2023-05-20 15:35:00,false,13,2023-05-19 16:50:00,2023-05-20 09:00:00,false,35,2023-05-22 14:29:00,2023-05-22 14:33:00,false,45,FALTANDO METALON OK,33,15,PEQUENO,,0,,,false
1000000032,2023-05-16 07:42:44,2023-05-16 15:28:51,false,31,2023-05-16 13:48:00,2023-05-16 13:58:00,false,12,2023-05-16 11:35:00,2023-05-17 08:30:00,false,9,2023-05-17 13:30:00,2023-05-17 14:02:00,false,32,2023-05-20 15:45:00,2023-05-22 10:30:00,false,13,2023-05-22 13:40:00,2023-06-03 14:23:00,false,8,2023-05-22 14:47:00,2023-06-28 14:00:00,true,46,FALTANDO PAINEL MUXARABI OK 28/06/23,33,15,MÉDIO,,0,,,false
1000000033,2023-05-15 14:40:54,2023-05-15 17:03:59,false,31,2023-05-16 10:00:00,2023-05-16 11:30:00,false,12,2023-05-16 13:20:00,2023-05-16 13:55:00,false,51,2023-05-17 11:00:00,2023-05-17 13:13:00,false,32,2023-05-22 10:40:00,2023-05-22 16:55:00,false,13,2023-05-23 08:35:00,2023-05-24 11:14:00,false,35,2023-05-23 09:00:00,2023-05-25 13:26:00,true,34,FALTANDO PRATELEIRA SERRALHERIA 22.05 MARCOS ROCHA OK DIA 14/06/2023,33,15,PEQUENO,,0,,,false
1000000034,2023-05-15 08:54:00,2023-05-15 15:54:49,false,31,2023-05-16 10:49:00,2023-05-16 13:46:00,false,12,2023-05-15 16:35:00,2023-05-17 11:00:00,false,6,2023-05-18 10:25:00,2023-05-19 07:40:00,false,32,2023-05-23 08:45:00,2023-06-06 11:55:00,false,13,2023-05-19 00:00:00,2023-05-19 00:00:00,false,0,2023-05-30 13:00:00,2023-06-07 09:04:00,true,34,FALTANDO METALON OK DIA 14/06/2023,33,15,MÉDIO,,0,,,false
1000000035,2023-05-12 09:32:46,2023-05-18 15:56:44,false,23,2023-05-15 11:30:00,2023-05-18 16:40:00,false,12,2023-05-15 09:50:00,2023-06-12 13:45:00,true,9,2023-06-13 08:00:00,2023-06-13 16:36:00,false,23,2023-06-20 10:30:00,2023-06-21 17:00:00,false,11,2023-06-21 11:05:00,2023-06-27 11:27:00,false,19,2023-06-23 09:55:00,2023-06-27 13:05:00,true,34," FALTANDO 3 CABIDE OK DIA 07/07/2023",33,15,GRANDE,,0,,,false
1000000036,2023-05-22 10:06:26,2023-05-23 08:13:08,false,31,2023-05-23 10:40:00,2023-05-23 11:45:00,false,12,2023-05-23 09:10:00,2023-05-23 13:42:00,false,6,2023-05-25 09:50:00,2023-05-26 09:53:00,true,23,2023-05-26 10:00:00,2023-05-29 10:10:00,false,21,2023-05-26 00:00:00,2023-05-26 00:00:00,false,0,2023-05-29 15:53:00,2023-05-30 11:34:00,false,50,"*FALTANDO PORTA DE ALUMINIO OK DIA 05/06/2023
* 2 PUXADOR COLONIAL ESCOVADO OK 01/06/23      4 PUXADOR PONTO OK 31/05/23",33,15,MÉDIO,,0,,,false
1000000037,2023-05-23 11:27:13,2023-05-23 11:27:31,false,31,2023-05-23 11:45:00,2023-05-23 13:10:00,false,12,2023-05-23 13:10:00,2023-05-23 14:30:00,false,9,2023-05-24 15:55:00,2023-05-25 10:34:00,false,32,2023-05-25 14:20:00,2023-05-26 08:15:00,false,48,2023-05-25 00:00:00,2023-05-25 00:00:00,false,0,2023-05-26 13:07:00,2023-05-26 16:07:00,false,45,,33,15,PEQUENO,,0,,,false
1000000038,2023-05-23 09:45:33,2023-05-23 09:50:00,false,0,2023-05-23 10:10:00,2023-05-23 10:12:00,false,12,2023-05-24 13:05:00,2023-05-24 13:10:00,false,51,2023-05-24 00:00:00,2023-05-24 00:00:00,false,0,2023-05-24 00:00:00,2023-05-24 00:00:00,false,0,2023-05-24 00:00:00,2023-05-24 00:00:00,false,0,2023-05-24 16:10:00,2023-05-24 16:20:00,false,50,,33,15,PEQUENO,,0,,,false
1000000039,2023-05-23 09:51:57,2023-05-23 09:54:53,false,0,2023-05-23 10:05:00,2023-05-23 10:07:00,false,12,2023-06-22 00:00:00,2023-06-22 00:00:00,false,0,2023-06-22 00:00:00,2023-06-22 00:00:00,false,0,2023-06-22 10:15:00,2023-06-22 10:15:00,false,0,2023-06-22 00:00:00,2023-06-22 00:00:00,false,0,2023-06-22 10:47:00,2023-06-22 10:50:00,false,45,,33,15,PEQUENO,,0,,,false
1000000040,2023-05-22 09:40:06,2023-05-22 11:49:05,false,14,2023-05-22 14:13:00,2023-05-22 14:26:00,false,12,2023-05-22 15:50:00,2023-05-23 08:00:00,false,9,2023-05-26 13:00:00,2023-05-26 16:04:00,false,32,2023-05-30 09:20:00,2023-05-30 11:10:00,false,48,2023-05-26 00:00:00,2023-05-26 00:00:00,false,0,2023-05-30 11:35:00,2023-05-30 11:58:00,false,50,FICOU PORTA DE ALUMINIO E ACESSORIOS,33,15,PEQUENO,,0,,,false
1000000041,2023-05-22 13:12:58,2023-05-22 14:43:03,false,14,2023-05-22 15:15:00,2023-05-22 15:50:00,false,12,2023-05-22 16:08:00,2023-05-23 08:25:00,false,6,2023-05-24 16:02:00,2023-05-25 09:30:00,false,23,2023-05-26 08:20:00,2023-05-26 09:30:00,false,48,2023-05-25 00:00:00,2023-05-25 00:00:00,false,0,2023-05-26 16:10:00,2023-05-26 16:48:00,false,45,,33,15,PEQUENO,,0,,,false
1000000042,2023-05-22 14:48:41,2023-05-23 08:58:01,false,14,2023-05-23 08:41:00,2023-05-23 10:05:00,false,12,2023-05-23 09:38:00,2023-05-23 11:25:00,false,51,2023-05-25 14:53:00,2023-05-26 08:28:00,false,23,2023-05-26 09:35:00,2023-05-26 14:55:00,false,48,2023-05-26 00:00:00,2023-05-26 00:00:00,false,0,2023-05-26 16:49:00,2023-05-27 10:00:00,false,46,,33,15,PEQUENO,,0,,,false
1000000043,2023-05-19 14:15:21,2023-05-22 09:35:29,false,29,2023-05-22 14:40:00,2023-05-22 14:45:00,false,12,2023-05-22 10:40:00,2023-05-22 17:20:00,false,9,2023-05-26 15:15:00,2023-05-27 13:44:00,false,32,2023-05-29 10:30:00,2023-05-31 10:50:00,false,21,2023-05-29 00:00:00,2023-05-29 00:00:00,false,0,2023-05-30 16:50:00,2023-06-01 09:00:00,false,34,BAIANO LEVOU AS PEÇAS LAQUEADAS,33,15,MÉDIO,,0,,,false
1000000045,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,,,false,0,2023-06-06 15:57:00,2023-06-06 16:04:00,false,45,,33,39,PEQUENO,,0,,,false
1000000046,2023-06-09 07:55:48,2023-06-09 09:29:39,false,29,2023-06-09 00:00:00,2023-06-09 00:00:00,false,0,2023-06-09 09:45:00,2023-06-09 10:00:00,false,9,2023-06-09 10:50:00,2023-06-09 13:10:00,true,23,2023-06-09 14:20:00,2023-06-09 15:41:00,false,11,2023-06-09 00:00:00,2023-06-09 00:00:00,false,0,2023-06-12 08:08:00,2023-06-12 08:39:00,false,50,,33,44,PEQUENO,,0,,,false
1000000047,2023-06-12 13:51:55,2023-06-13 16:10:12,false,31,2023-06-15 07:45:00,2023-06-15 09:13:00,false,12,2023-06-13 16:13:00,2023-06-14 08:46:00,false,51,2023-06-15 09:00:00,2023-06-15 09:20:00,false,32,2023-06-15 09:20:00,2023-06-16 08:20:00,false,20,2023-06-15 00:00:00,2023-06-15 00:00:00,false,0,2023-06-16 08:33:00,2023-06-16 11:17:00,false,50,,33,15,MÉDIO,,0,,,false
1000000049,2023-06-15 13:42:23,2023-06-19 08:06:57,false,36,2023-06-19 00:00:00,2023-06-19 00:00:00,false,0,2023-06-16 11:45:00,2023-06-19 08:35:00,false,22,2023-06-19 08:52:00,2023-06-19 16:50:00,true,32,2023-06-20 07:50:00,2023-06-20 13:55:00,false,48,2023-06-19 00:00:00,2023-06-19 00:00:00,false,0,2023-06-20 16:48:00,2023-06-20 19:15:00,false,34,,33,15,MÉDIO,,0,,,false
1000000050,2023-06-14 13:15:39,2023-06-15 07:45:55,false,31,2023-06-15 09:22:00,2023-06-15 09:35:00,false,12,2023-06-15 07:55:00,2023-06-15 08:44:00,false,6,2023-06-15 09:00:00,2023-06-15 14:56:00,true,23,2023-06-16 07:35:00,2023-06-16 09:30:00,false,21,2023-06-15 00:00:00,2023-06-15 00:00:00,false,0,2023-06-19 11:00:00,2023-06-19 13:40:00,false,46,FALTANDO PUXADOR ABA BRONZE 100 MM OK DIA 19/06/2023,33,15,MÉDIO,,0,,,false
1000000051,2023-06-15 10:55:59,2023-06-15 13:27:35,false,31,2023-06-15 13:28:00,2023-06-15 15:29:00,false,12,2023-06-15 14:00:00,2023-06-15 14:50:00,false,9,2023-06-15 15:37:00,2023-06-16 10:12:00,false,23,2023-06-16 16:40:00,2023-06-19 09:40:00,false,21,2023-06-16 00:00:00,2023-06-16 00:00:00,false,0,2023-06-19 18:14:00,2023-06-19 18:49:00,false,50,,33,15,PEQUENO,,0,,,false
1000000052,2023-06-15 08:39:38,2023-06-15 09:07:01,false,31,2023-06-15 09:20:00,2023-06-15 09:30:00,false,12,2023-06-15 13:50:00,2023-06-15 14:00:00,false,22,2023-06-15 15:13:00,2023-06-15 17:22:00,true,23,2023-06-19 10:00:00,2023-06-19 10:40:00,false,21,2023-06-15 00:00:00,2023-06-15 00:00:00,false,0,2023-06-19 18:03:00,2023-06-19 18:12:00,false,50,,33,15,PEQUENO,,0,,,false
1000000053,2023-06-28 08:57:13,2023-06-29 13:54:47,false,14,2023-06-28 13:55:00,2023-06-28 14:54:00,false,12,2023-06-30 16:25:00,2023-07-01 10:10:00,false,22,2023-07-04 09:00:00,2023-07-04 15:42:00,true,23,2023-07-04 16:00:00,2023-07-05 16:50:00,false,13,2023-07-04 00:00:00,2023-07-04 00:00:00,false,0,2023-07-06 08:45:00,2023-07-06 14:17:00,false,45,FALTANDO PORTA DE ALUMINIO OK DIA 07/07/2023,33,15,MÉDIO,,0,,,false
1000000054,2023-06-29 13:57:52,2023-06-29 14:31:24,false,14,2023-06-30 00:00:00,2023-06-30 00:00:00,false,0,2023-06-30 08:30:00,2023-06-30 09:30:00,false,22,2023-06-30 10:40:00,2023-06-30 11:22:00,false,32,2023-07-03 09:25:00,2023-07-03 10:00:00,false,13,2023-06-30 00:00:00,2023-06-30 00:00:00,false,0,2023-07-03 11:24:00,2023-07-03 13:06:00,false,46,,33,15,PEQUENO,,0,,,false
1000000055,2023-06-29 15:43:14,2023-06-30 15:35:00,false,29,2023-06-30 15:44:00,2023-06-30 16:24:00,false,12,2023-07-01 10:35:00,2023-07-01 14:10:00,false,22,2023-07-03 13:45:00,2023-07-04 13:20:00,true,23,2023-07-05 13:20:00,2023-07-06 09:22:00,false,11,2023-07-04 00:00:00,2023-07-04 00:00:00,false,0,2023-07-06 15:15:00,2023-07-07 10:09:00,false,46,** 3 PORTAS ***       **************** 2=  2334 X 519                 1= 2334 X 515  ***************************,33,15,MÉDIO,,0,,,false
1000000056,2023-06-29 14:34:26,2023-06-29 15:26:06,false,29,2023-06-30 00:00:00,2023-06-30 00:00:00,false,0,2023-06-30 08:00:00,2023-06-30 09:25:00,false,22,2023-06-30 11:40:00,2023-06-30 13:06:00,false,32,2023-07-03 09:27:00,2023-07-03 09:50:00,false,21,2023-06-30 00:00:00,2023-06-30 00:00:00,false,0,2023-07-03 13:12:00,2023-07-03 13:37:00,false,50,,33,15,PEQUENO,,0,,,false
1000000057,2023-07-11 09:50:53,2023-07-11 10:56:13,false,14,2023-07-11 10:25:00,2023-07-11 10:28:00,false,12,2023-07-11 11:10:00,2023-07-11 11:40:00,false,9,2023-07-11 11:41:00,2023-07-11 13:10:00,false,23,2023-07-11 13:20:00,2023-07-11 14:00:00,false,34,2023-07-11 00:00:00,2023-07-11 00:00:00,false,0,2023-07-11 16:50:00,2023-07-11 17:05:00,false,45,"FALTANDO PORTAS DE ALUMINIO OK DIA 25/07/2023
BAIANO LEVOU AS PORTAS PARA DEPOSITO 27/07/23",33,15,PEQUENO,,0,,,false
1000000058,2023-07-18 14:42:13,2023-07-18 15:52:15,false,51,2023-07-19 08:47:00,2023-07-19 08:55:00,false,55,2023-07-19 11:00:00,2023-07-19 13:30:00,false,9,2023-07-19 14:31:00,2023-07-19 16:23:00,true,23,2023-07-20 07:32:00,2023-07-20 11:45:00,false,53,2023-07-19 00:00:00,2023-07-19 00:00:00,false,0,2023-07-21 14:30:00,2023-07-21 15:00:00,false,50,"FALTANDO PORTAS DE ALUMINIO OK DIA 25/07/2023 SÓ AS PORTAS
METALON OK DIA  27/07/2023",33,39,PEQUENO,,0,,,false
1000000059,2023-07-17 13:46:48,2023-07-18 09:06:24,false,31,2023-07-19 08:20:00,2023-07-19 08:46:00,false,55,2023-07-18 16:15:00,2023-07-19 09:38:00,false,9,2023-07-19 15:34:00,2023-07-21 10:38:00,true,23,2023-07-24 09:00:00,2023-07-25 16:53:00,false,53,2023-07-21 00:00:00,2023-07-21 00:00:00,false,0,2023-07-27 15:28:00,2023-07-28 09:12:00,false,50,FALTANDO METALON  OK DIA 27/07/2023,33,39,MÉDIO,,0,,,false
1000000060,2023-07-18 09:08:18,2023-07-18 10:57:41,false,31,2023-07-19 08:20:00,2023-07-19 08:27:00,false,55,2023-07-19 17:40:00,2023-07-19 18:30:00,false,9,2023-07-20 13:57:00,2023-07-20 17:08:00,true,23,2023-07-24 14:55:00,2023-07-25 08:30:00,false,52,2023-07-20 00:00:00,2023-07-20 00:00:00,false,0,2023-07-25 11:02:00,2023-07-25 13:51:00,false,50,,33,39,PEQUENO,,0,,,false
1000000061,2023-07-18 11:21:01,2023-07-18 14:33:52,false,31,2023-07-19 08:56:00,2023-07-19 09:21:00,false,55,2023-07-19 14:30:00,2023-07-19 17:20:00,false,9,2023-07-20 10:27:00,2023-07-21 08:05:00,true,23,2023-07-24 08:00:00,2023-07-24 15:55:00,false,21,2023-07-21 00:00:00,2023-07-21 00:00:00,false,0,2023-07-25 16:50:00,2023-07-25 18:40:00,false,34,,33,39,MÉDIO,,0,,,false
1000000062,2023-07-18 16:09:34,2023-07-18 16:23:13,false,31,2023-07-19 00:00:00,2023-07-19 00:00:00,false,0,2023-07-19 17:00:00,2023-07-19 17:20:00,false,9,2023-07-19 00:00:00,2023-07-19 00:00:00,false,0,2023-07-19 00:00:00,2023-07-19 00:00:00,false,0,2023-07-19 17:40:00,2023-07-19 17:40:00,false,0,2023-07-19 18:54:00,2023-07-19 19:07:00,false,46,,33,39,PEQUENO,,0,,,false
1000000063,2023-08-03 12:02:12,2023-08-04 08:37:59,false,14,2023-08-04 09:00:00,2023-08-04 09:54:00,false,12,2023-08-04 11:10:00,2023-08-04 13:27:00,false,22,2023-08-04 16:20:00,2023-08-07 14:30:00,true,32,2023-08-08 14:58:00,2023-08-09 08:17:00,false,52,2023-08-07 00:00:00,2023-08-07 00:00:00,false,0,2023-08-09 10:27:00,2023-08-09 11:55:00,false,50,,33,39,PEQUENO,,0,,,false
1000000064,2023-08-04 08:44:09,2023-08-04 10:34:58,false,14,2023-08-04 11:30:00,2023-08-04 11:45:00,false,55,2023-08-04 13:30:00,2023-08-04 14:00:00,false,9,2023-08-04 14:42:00,2023-08-04 16:09:00,false,23,2023-08-08 11:15:00,2023-08-08 11:51:00,false,57,2023-08-07 00:00:00,2023-08-07 00:00:00,false,0,2023-08-09 07:55:00,2023-08-09 08:21:00,false,50,,33,39,PEQUENO,,0,,,false
1000000065,2023-08-04 10:45:33,2023-08-04 14:01:29,false,14,2023-08-04 16:30:00,2023-08-04 16:45:00,false,12,2023-08-04 14:45:00,2023-08-04 15:50:00,false,6,2023-08-07 10:46:00,2023-08-07 14:40:00,false,23,2023-08-08 13:10:00,2023-08-08 14:47:00,false,52,2023-08-07 00:00:00,2023-08-07 00:00:00,false,0,2023-08-09 08:22:00,2023-08-09 09:06:00,false,50,,33,39,PEQUENO,,0,,,false
1000000066,2023-08-04 14:22:20,2023-08-04 15:46:30,false,14,2023-08-04 16:15:00,2023-08-04 16:28:00,false,12,2023-08-07 09:15:00,2023-08-07 10:40:00,false,6,2023-08-07 13:57:00,2023-08-07 14:55:00,false,23,2023-08-09 08:30:00,2023-08-09 09:43:00,false,52,2023-08-07 00:00:00,2023-08-07 00:00:00,false,0,2023-08-09 13:00:00,2023-08-09 13:50:00,true,54,,33,39,PEQUENO,,0,,,false
1000000067,2023-08-04 15:49:07,2023-08-07 09:15:18,false,14,2023-08-07 10:00:00,2023-08-07 10:05:00,false,12,2023-08-07 11:00:00,2023-08-07 11:20:00,false,22,2023-08-07 15:57:00,2023-08-07 17:09:00,false,23,2023-08-09 10:10:00,2023-08-09 10:27:00,false,52,2023-08-07 00:00:00,2023-08-07 00:00:00,false,0,2023-08-09 13:50:00,2023-08-09 14:04:00,false,54,,33,39,PEQUENO,,0,,,false
